'PcaF_Id','d1','d2'
1,0.457665018321516,0.654415817834393
2,0.163308736166279,0.554318065175115
3,0.379858519649431,0.480522486504398
4,0.249963412917739,0.667646115490597
5,0.186749834993011,0.664087100284878
6,0.4372789457034,0.517025879676899
7,0.390509148608919,0.401646709888643
8,0.236570152479189,0.615333556090088
9,0.264968967588461,0.666107021848869
10,0.201543337230363,0.642303812415501
11,0.533707477007429,0.531040322275647
12,0.282989247686111,0.549982111943743
13,0.08115114970539,0.485352432793545
14,0.257309437833831,0.575704290073427
15,0.480166608760866,0.507421255598569
16,0.39257515105357,0.297769540913467
17,0.489842189812636,0.53865343414454
18,0.364416910197751,0.446392847293828
19,0.240412532136115,0.698795645284456
20,0.34510189040303,0.597569263504785
21,0.26606110325199,0.904601862392996
22,0.388233592385753,0.467603820427579
23,0.406483298169904,0.725503321689431
24,0.41384091053014,0.610938917407682
25,0.252139847092915,0.67482830847214
26,0.577585808648049,0.547829543078806
27,0.579075927329204,0.702603108552074
28,0.369832648251341,0.686011529256964
29,0.217187767552355,0.605561369609856
30,0.316344862386441,0.631064608556513
31,0.197878554150246,0.627755081716335
32,0.171031278486698,0.560629626124732
33,0.369865535047195,0.568792223530079
34,0.294784532102598,0.534558088328856
35,0.254397830958137,0.716731216290994
36,0.308858333045137,0.812356848335563
37,0.347130590973116,0.577410495039056
38,0.560702534934055,0.637161581245067
39,0.327240937931227,0.382223677666462
40,0.37066681339303,0.511022829032054
41,0.530198206557049,0.297669624869587
42,0.391471340171035,0.592438897538875
43,0.17132159794793,0.459552385046517
44,0.934824134401256,0.359580832679933
45,0.375960721123514,0.532628632669386
46,0.517901421634745,0.612311980102874
47,0.178466829528129,0.445632648278735
48,0.338783958564845,0.423867884094297
49,0.514501486210524,0.558894529469106
50,0.356484921891645,0.584238790975714
51,0.291737274443306,0.626757028526341
52,0.265865824064553,0.516667689979955
53,0.447923432127013,0.40811374034521
54,0.507156601909576,0.750232609219212
55,0.259377083285575,0.636602438412738
56,0.183519204682257,0.706183488568727
57,0.222701392564913,0.677527408880403
58,0.098258930238402,0.603809618270822
59,0.431773251881092,0.73571731772957
60,0.286054401400483,0.489885285209975
61,0.309561346752755,0.412552486786849
62,0.397232877776818,0.592428280248502
63,0.254939461722032,0.422466764186575
64,0.346699166159195,0.671284676250832
65,0.465368366877148,0.458140735543407
66,0.348139076658597,0.586159940874996
67,0.335403736398896,0.730864068340151
68,0.321011987601728,0.605241842859509
69,0.519934238020679,0.582081133389672
70,0.277248870000215,0.694441473214235
71,0.237780844285429,0.622232446220047
72,0.249135292683302,0.636591753552713
73,0.376261194191305,0.424413095300926
74,0.184694565876458,0.705214322449643
75,0.401915044253341,0.630253607136339
76,0.161331423604747,0.628863515303328
77,0.67746513806822,0.357855500044736
78,0.27865053371125,0.523598777750776
79,0.344076209048166,0.519103145416759
80,0.396335589711213,0.64178593691565
81,0.436172236641622,0.608626692267581
82,0.308460496545896,0.538069995973552
83,0.2545906330281,0.523584685532707
84,0.22519279733732,0.626035173583839
85,0.188757433273913,0.698690897909437
86,0.649536385961393,0.247845882627629
87,0.388200615226207,0.727276559070723
88,0.283976619912266,0.646373060372506
89,0.399100537133222,0.5837684834187
90,0.345088063371161,0.657452967549255
91,0.523440360615798,0.475018418415541
92,0.452097023538924,0.455287923937764
93,0.485203306778422,0.582465342616983
94,0.403381364418336,0.526010921573851
95,0.833146172623989,0.34043628724308
96,0.461025534162986,0.398172605119397
97,0.530740846320429,0.420672525782193
98,0.338877102374975,0.536361714586455
99,0.339384728410225,0.433758130868623
100,0.331462552112349,0.544005152759406
101,0.634219595098754,0.474448136929944
102,0.261951170072972,0.513887904873481
103,0.125798213326624,0.599074750178794
104,0.310240440833649,0.563927430157076
105,0.292654580018722,0.426248462172761
106,0.300577226372708,0.430698415836129
107,0.218232731560709,0.52621955417536
108,0.20901517108399,0.635041530595543
109,0.442863487653017,0.396791826051274
110,0.51161077267879,0.556775813723408
111,0.416600025837751,0.634908733483393
112,0.177931260138095,0.545161962447107
113,0.34701761724916,0.435190471199239
114,0.387205990415756,0.530619780327677
115,0.234025754643679,0.52987644074004
116,0.075424758280257,0.594002769219134
117,0.445977992398268,0.535957680020109
118,0.602380272872384,0.733803093223196
119,0.32709379667439,0.497681337161895
120,0.78468770853102,0.358139610484673
121,0,0.601065366430206
122,0.360524844314432,0.664495859438909
123,0.210765343834729,0.613435941184913
124,0.404081146628564,0.669037992790943
125,0.318605237289584,0.481032651598761
126,0.199667377482639,0.545819093706313
127,0.399826503708591,0.588249085987836
128,0.192893614103651,0.655607805182465
129,0.46940042902444,0.522895417616732
130,0.305762354280081,0.585185753472265
131,0.274873741812128,0.585713083903721
132,0.781779434259766,0.244474526027947
133,0.371433898586352,0.538170326692593
134,0.234952419724534,0.589685938209693
135,0.395453433374601,0.652136769187216
136,0.358808095026508,0.500067642822143
137,0.374859260306831,0.698045288350134
138,0.435109241455339,0.418722903140645
139,0.368563370447349,0.580572018051457
140,0.457509144104403,0.42893230227931
141,0.259448884598619,0.496400861924467
142,0.478499258390811,0.493496395329382
143,0.705886835191286,0.270918868625714
144,0.284074903883038,0.524138050816455
145,0.52897386249322,0.236104102544066
146,0.378947887466973,0.611407501471404
147,0.343799009975958,0.467991351363582
148,0.78805235277444,0.273381469918614
149,0.347822593341248,0.649704461482317
150,0.424007907392225,0.84321296928933
151,0.295852619379098,0.589755061977598
152,0.186741106137066,0.497958978786723
153,0.345697426752994,0.55314882461521
154,0.326718197906299,0.426795248872329
